"esm.IDnum.w1","esm.fileDate.w1","esm.PRO03.w1","esm.PRO02.w1"
1,20121009,1,6
1,20121009,2,2
1,20121009,3,3
1,20121010,1,1
1,20121010,2,2
1,20121010,3,3
1,20121010,4,4
1,20121011,1,1
1,20121011,2,2
1,20121011,3,3
1,20121011,4,4
1,20121012,1,1
1,20121012,2,2
1,20121012,3,3
1,20121013,1,1
1,20121013,2,2
1,20121013,3,3
1,20121013,4,4
1,20121014,1,1
1,20121014,2,2
1,20121014,3,3
1,20121014,4,4
1,20121015,1,1
1,20121015,2,2
1,20121015,4,4
1,20121016,4,4
1,20121017,1,1
1,20121017,3,3
1,20121017,4,4
1,20121018,1,1
1,20121019,2,2
1,20121019,3,3
1,20121019,4,4
1,20121020,1,1
1,20121020,3,3
1,20121021,2,2
1,20121021,3,3
1,20121022,1,1
1,20121022,2,2
1,20121022,3,3
2,20121012,1,6
2,20121014,2,2
2,20121014,3,3
2,20121015,1,1
2,20121015,4,4
2,20121016,2,2
2,20121016,4,4
2,20121017,2,2
2,20121017,3,3
2,20121018,1,1
2,20121018,2,2
2,20121018,3,3
2,20121022,1,1
2,20121023,1,1
2,20121026,1,1
4,20121009,1,6
4,20121009,2,2
4,20121009,3,3
4,20121010,1,1
4,20121010,2,2
4,20121010,3,3
4,20121010,4,4
4,20121011,1,1
4,20121011,2,2
4,20121011,3,3
4,20121011,4,4
4,20121012,4,4
4,20121014,3,3
4,20121015,1,1
4,20121015,2,2
4,20121015,3,3
4,20121015,4,4
4,20121016,2,2
4,20121016,3,3
4,20121016,4,4
4,20121017,1,1
4,20121017,3,3
4,20121017,4,4
4,20121018,4,4
4,20121020,3,3
4,20121020,4,4
4,20121021,2,2
4,20121021,3,3
4,20121021,4,4
4,20121022,2,2
4,20121022,4,4
4,20121023,1,1
5,20121012,2,6
5,20121012,3,3
5,20121012,4,4
5,20121013,1,1
5,20121013,2,2
5,20121013,3,3
5,20121013,4,4
5,20121014,1,1
5,20121014,2,2
5,20121014,3,3
5,20121014,4,4
5,20121015,1,1
5,20121015,2,2
5,20121015,3,3
5,20121015,4,4
5,20121016,2,2
5,20121016,3,3
5,20121016,4,4
5,20121017,1,1
5,20121017,2,2
5,20121017,3,3
5,20121017,4,4
5,20121018,1,1
5,20121018,2,2
5,20121018,3,3
5,20121019,2,2
5,20121019,4,4
5,20121020,1,1
5,20121020,2,2
5,20121020,3,3
5,20121020,4,4
5,20121021,3,3
5,20121021,4,4
5,20121022,2,2
5,20121022,3,3
5,20121022,4,4
5,20121023,2,2
5,20121023,3,3
5,20121023,4,4
5,20121024,1,1
5,20121024,2,2
5,20121024,3,3
5,20121025,1,1
5,20121025,3,3
5,20121026,1,1
5,20121026,2,2
5,20121026,3,5
6,20121009,1,6
6,20121010,2,2
6,20121010,3,3
6,20121011,1,1
6,20121011,3,3
6,20121013,1,1
6,20121014,1,1
6,20121015,4,4
6,20121017,2,2
6,20121017,4,4
6,20121023,3,5
7,20121009,2,6
7,20121010,2,2
7,20121010,3,3
7,20121010,4,4
7,20121011,1,1
7,20121011,2,2
7,20121011,3,3
7,20121011,4,4
8,20121013,1,6
8,20121013,2,2
8,20121013,3,3
8,20121013,4,4
8,20121014,1,1
8,20121014,2,2
8,20121014,3,3
8,20121014,4,4
